"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11","1"
"12","2"
"13","3"
"14","4"
"15","4"
"16","5"
"17","6"
"18","7"
"19","8"
"20","9"
"21","10"
"22","10"
"23","11"
"24","11"
"25","12"
"26","13"
"27","14"
"28","15"
"29","16"
"30","17"
"31","18"
"32","19"
"33","20"
"34","21"
"35","22"
"36","23"
"37","24"
"38","25"
"39","26"
"40","27"
"41","28"
"42","28"
"43","29"
"44","30"
"45","31"
"46","32"
"47","33"
"48","34"
"49","35"
"50","36"
"51","37"
"52","38"
"53","39"
"54","40"
"55","41"
"56","42"
"57","43"
"58","44"
"59","45"
"60","46"
"61","47"
"62","47"
"63","48"
"64","49"
"65","50"
"66","51"
"67","51"
"68","52"
"69","53"
"70","54"
"71","55"
"72","56"
"73","57"
"74","58"
"75","58"
"76","59"
"77","60"
"78","61"
"79","62"
"80","63"
"81","64"
"82","65"
"83","66"
"84","67"
"85","68"
"86","69"
"87","70"
"88","71"
"89","72"
"90","73"
"91","74"
"92","74"
"93","75"
"94","76"
"95","77"
"96","78"
"97","79"
"98","80"
"99","80"
"100","81"
"101","82"
"102","83"
"103","83"
"104","84"
"105","85"
"106","86"
"107","87"
"108","88"
"109","88"
"110","89"
"111","90"
"112","91"
"113","92"
"114","93"
"115","94"
"116","95"
"117","96"
"118","97"
"119","98"
"120","98"
"121","99"
"122","100"
"123","101"
"124","102"
"125","103"
"126","104"
"127","105"
"128","106"
"129","107"
"130","108"
"131","109"
"132","110"
"133","111"
"134","112"
"135","113"
"136","114"
"137","115"
"138","116"
"139","116"
"140","117"
"141","118"
"142","119"
"143","120"
"144","121"
"145","122"
"146","123"
"147","124"
"148","125"
"149","126"
"150","127"
"151","128"
"152","129"
"153","130"
"154","131"
"155","132"
"156","133"
"157","134"
"158","135"
"159","136"
"160","137"
"161","138"
"162","139"
"163","140"
"164","141"
"165","142"
"166","143"
"167","143"
"168","144"
"169","145"
"170","146"
"171","146"
"172","147"
"173","148"
"174","149"
"175","150"
"176","151"
"177","152"
"178","153"
"179","154"
"180","155"
"181","156"
"182","157"
"183","157"
"184","158"
"185","159"
"186","160"
"187","161"
"188","162"
"189","163"
"190","164"
"191","165"
"192","166"
"193","167"
"194","168"
"195","169"
"196","170"
"197","171"
"198","172"
"199","172"
"200","173"
"201","174"
"202","175"
"203","176"
"204","177"
"205","178"
"206","179"
"207","180"
"208","180"
"209","181"
"210","182"
"211","183"
"212","184"
"213","185"
"214","186"
"215","186"
"216","187"
"217","188"
"218","189"
"219","190"
"220","191"
"221","192"
"222","193"
"223","194"
"224","195"
"225","196"
"226","197"
"227","198"
"228","199"
"229","200"
"230","201"
"231","202"
"232","202"
"233","203"
"234","204"
"235","205"
"236","205"
"237","206"
"238","207"
"239","208"
"240","209"
"241","210"
"242","211"
"243","212"
"244","213"
"245","214"
"246","215"
"247","216"
"248","217"
"249","218"
"250","219"
"251","220"
"252","221"
"253","222"
"254","223"
"255","224"
"256","225"
"257","226"
"258","227"
"259","228"
"260","229"
"261","229"
"262","230"
"263","231"
"264","232"
"265","234"
"266","235"
"267","236"
"268","237"
"269","238"
"270","239"
"271","240"
"272","241"
"273","242"
"274","243"
"275","244"
"276","245"
"277","246"
"278","247"
"279","248"
"280","249"
"281","250"
"282","251"
"283","252"
"284","253"
"285","254"
"286","255"
"287","256"
"288","257"
"289","258"
"290","259"
"291","260"
"292","261"
"293","262"
"294","263"
"295","264"
"296","264"
"297","265"
"298","266"
"299","267"
"300","268"
"301","268"
"302","269"
"303","270"
"304","271"
"305","272"
"306","273"
"307","274"
"308","275"
"309","276"
"310","277"
"311","278"
"312","279"
"313","280"
"314","281"
"315","282"
"316","283"
"317","284"
"318","285"
"319","286"
"320","287"
"321","288"
"322","289"
"323","290"
"324","291"
"325","292"
"326","292"
"327","293"
"328","294"
"329","295"
"330","296"
"331","297"
"332","298"
"333","299"
"334","300"
"335","301"
"336","302"
"337","303"
"338","304"
"339","305"
"340","306"
"341","307"
"342","308"
"343","309"
"344","310"
"345","311"
"346","311"
"347","312"
"348","313"
"349","314"
"350","316"
"351","317"
"352","317"
"353","318"
"354","319"
"355","320"
"356","321"
"357","322"
"358","323"
"359","324"
"360","325"
"361","326"
"362","327"
"363","328"
"364","329"
"365","330"
"366","331"
"367","331"
"368","332"
"369","333"
"370","334"
"371","335"
"372","335"
"373","336"
"374","337"
"375","338"
"376","339"
"377","340"
"378","341"
"379","342"
"380","343"
"381","344"
"382","345"
"383","346"
"384","347"
"385","348"
"386","349"
"387","350"
"388","350"
"389","351"
"390","352"
"391","353"
"392","354"
"393","355"
"394","356"
"395","357"
"396","358"
"397","358"
"398","359"
"399","360"
"400","361"
"401","362"
"402","363"
"403","364"
"404","365"
"405","366"
"406","367"
"407","368"
"408","369"
"409","369"
"410","370"
"411","371"
"412","372"
"413","373"
"414","374"
"415","375"
"416","376"
"417","377"
"418","378"
"419","380"
"420","381"
"421","382"
"422","384"
"423","385"
"424","385"
"425","386"
"426","386"
"427","387"
"428","388"
"429","389"
"430","390"
"431","391"
"432","392"
"433","393"
"434","394"
"435","395"
"436","396"
"437","397"
"438","398"
"439","399"
"440","400"
"441","401"
"442","402"
"443","403"
"444","404"
"445","405"
"446","406"
"447","407"
"448","408"
"449","409"
"450","410"
"451","411"
"452","412"
"453","413"
"454","413"
"455","414"
"456","415"
"457","417"
"458","418"
"459","419"
"460","420"
"461","421"
"462","422"
"463","423"
"464","424"
"465","425"
"466","426"
"467","427"
"468","428"
"469","429"
"470","430"
"471","431"
"472","432"
"473","433"
"474","434"
"475","434"
"476","435"
"477","438"
"478","439"
"479","440"
"480","441"
"481","442"
"482","443"
"483","444"
"484","445"
"485","446"
"486","448"
"487","449"
"488","450"
"489","451"
"490","452"
"491","453"
"492","454"
"493","455"
"494","456"
"495","457"
"496","459"
"497","460"
"498","462"
"499","463"
"500","464"
"501","465"
"502","466"
"503","467"
"504","469"
"505","470"
"506","472"
"507","473"
"508","474"
"509","475"
"510","476"
"511","477"
"512","478"
"513","479"
"514","480"
"515","481"
"516","482"
"517","483"
"518","488"
"519","489"
"520","490"
"521","491"
"522","492"
"523","496"
"524","497"
"525","498"
"526","500"
"527","501"
"528","502"
"529","503"
"530","506"
"531","507"
"532","508"
"533","509"
"534","510"
"535","516"
"536","517"
"537","518"
"538","519"
"539","521"
"540","522"
"541","523"
