Model;Decoration;K;Llk;AIC;BIC
K80;;1080;-733896,66938;1469953,33876;1476991,90740
K80;+I;1081;-733896,71793;1469955,43586;1477000,52169
HKY85;;1083;-733895,29550;1469956,59100;1477014,71122
TN93;;1084;-733895,29550;1469958,59100;1477023,22841
K80;+G;1081;-733898,46064;1469958,92128;1477004,00711
K80;+G+I;1082;-733898,96427;1469961,92854;1477013,53157
GTR;;1087;-733895,22825;1469964,45650;1477048,64549
GTR;+I;1088;-733895,30198;1469966,60396;1477057,31015
GTR;+G+I;1089;-733895,48391;1469968,96782;1477066,19120
GTR;+G;1088;-733897,03333;1469970,06666;1477060,77285
