"","from","to","time","support","generations"
"1",NA,1,-4,NA,NA
"2",1,2,-1,1,1
"3",2,3,1,1,1
"4",NA,4,0,NA,NA
"5",3,5,3,0.891089108910891,1
"6",4,6,2,1,1
"7",4,7,3,1,1
"8",5,8,4,0.861386138613861,1
"9",6,9,4,1,1
"10",6,10,5,1,1
"11",4,11,4,0.574257425742574,1
"12",5,12,5,0.792079207920792,1
"13",9,13,5,1,1
"14",5,14,6,0.594059405940594,1
"15",5,15,6,0.534653465346535,1
"16",7,16,6,0.851485148514851,1
"17",7,17,5,0.732673267326733,1
"18",8,18,7,0.485148514851485,1
"19",9,19,7,1,1
"20",10,20,8,0.96039603960396,1
"21",11,21,7,0.861386138613861,1
"22",11,22,7,0.99009900990099,1
"23",13,23,8,1,1
"24",13,24,7,1,1
"25",13,25,7,1,1
"26",17,26,8,1,1
"27",17,27,8,1,1
"28",NA,28,7,NA,NA
"29",10,29,8,1,1
"30",13,30,8,1,1
